# tracer: nop
#
# entries-in-buffer/entries-written: 547/547   #P:48
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-61620 [001] d...   835.069601: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.069605: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=S ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] dNh.   835.079650: sched_wakeup: comm=gettimeofday_sl pid=62518 prio=120 success=1 target_cpu=001
           <...>-61620 [001] d...   835.079652: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.092587: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.105583: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.118576: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.131569: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.131571: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=S ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] dNs.   835.139565: sched_wakeup: comm=kworker/1:0 pid=303 prio=120 success=1 target_cpu=001
           <...>-61620 [001] d...   835.139567: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=kworker/1:0 next_pid=303 next_prio=120
     kworker/1:0-303   [001] d...   835.139569: sched_switch: prev_comm=kworker/1:0 prev_pid=303 prev_prio=120 prev_state=S ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] dNh.   835.141616: sched_wakeup: comm=gettimeofday_sl pid=62518 prio=120 success=1 target_cpu=001
           <...>-61620 [001] d...   835.141617: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.154558: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.167554: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.180545: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.193539: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.193541: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=S ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] dNh.   835.203587: sched_wakeup: comm=gettimeofday_sl pid=62518 prio=120 success=1 target_cpu=001
           <...>-61620 [001] d...   835.203588: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.216528: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.229521: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.242514: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.255508: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.255510: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=S ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] dNh.   835.265555: sched_wakeup: comm=gettimeofday_sl pid=62518 prio=120 success=1 target_cpu=001
           <...>-61620 [001] d...   835.265556: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.278499: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.291492: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.304484: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.317479: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.317481: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=S ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] dNh.   835.327526: sched_wakeup: comm=gettimeofday_sl pid=62518 prio=120 success=1 target_cpu=001
           <...>-61620 [001] d...   835.327528: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.340467: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.353461: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.366454: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.379449: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.379450: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=S ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] dNh.   835.389496: sched_wakeup: comm=gettimeofday_sl pid=62518 prio=120 success=1 target_cpu=001
           <...>-61620 [001] d...   835.389497: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.402436: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.415432: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.428424: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.441417: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.441419: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=S ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] dNh.   835.451464: sched_wakeup: comm=gettimeofday_sl pid=62518 prio=120 success=1 target_cpu=001
           <...>-61620 [001] d...   835.451465: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.464405: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.477401: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.490393: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.503388: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.503390: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=S ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] dNh.   835.513435: sched_wakeup: comm=gettimeofday_sl pid=62518 prio=120 success=1 target_cpu=001
           <...>-61620 [001] d...   835.513436: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.526377: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.539371: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.552363: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.565356: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.565358: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=S ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] dNh.   835.575404: sched_wakeup: comm=gettimeofday_sl pid=62518 prio=120 success=1 target_cpu=001
           <...>-61620 [001] d...   835.575404: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.588346: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.601340: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.614333: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.627326: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.627328: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=S ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] dNh.   835.637373: sched_wakeup: comm=gettimeofday_sl pid=62518 prio=120 success=1 target_cpu=001
           <...>-61620 [001] d...   835.637374: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.650316: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.663309: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.676304: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.689296: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.689298: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=S ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] dNh.   835.699343: sched_wakeup: comm=gettimeofday_sl pid=62518 prio=120 success=1 target_cpu=001
           <...>-61620 [001] d...   835.699344: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.712285: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.725279: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.738271: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.751265: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.751267: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=S ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] dNh.   835.761312: sched_wakeup: comm=gettimeofday_sl pid=62518 prio=120 success=1 target_cpu=001
           <...>-61620 [001] d...   835.761313: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.774254: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.787249: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.800243: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.813237: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.813239: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=S ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] dNh.   835.823284: sched_wakeup: comm=gettimeofday_sl pid=62518 prio=120 success=1 target_cpu=001
           <...>-61620 [001] d...   835.823285: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
           <...>-62518 [001] d...   835.836228: sched_switch: prev_comm=gettimeofday_sl prev_pid=62518 prev_prio=120 prev_state=R ==> next_comm=while_a next_pid=61620 next_prio=120
           <...>-61620 [001] d...   835.849218: sched_switch: prev_comm=while_a prev_pid=61620 prev_prio=120 prev_state=R ==> next_comm=gettimeofday_sl next_pid=62518 next_prio=120
